#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wdatap1282
16_10906,P10906,,Key:leaf_cycle
17_82,,Q82,Tag:amenity=printer
17_143,,Q143,Key:esperanto|Key:language:eo|Key:name:eo
17_144,,Q144,Key:dog
17_150,,Q150,Key:language:fr
17_188,,Q188,Key:language:de
17_256,,Q256,Key:language:tr
17_283,,Q283,Tag:resource=water
17_286,,Q286,Tag:clothes=leather
17_309,,Q309,Key:historic
17_349,,Q349,Key:sport|Tag:sport=multi
17_355,,Q355,Key:contact:facebook|Key:facebook
17_376,,Q376,Tag:amenity=clock
17_418,,Q418,Key:telecom
17_432,,Q432,Tag:religion=muslim
17_514,,Q514,Tag:healthcare:speciality=anatomy
17_515,,Q515,Tag:place=city
17_532,,Q532,Tag:place=village
17_542,,Q542,Tag:sport=athletics
17_565,,Q565,Key:wikimedia_commons
17_718,,Q718,Tag:sport=chess
17_748,,Q748,Tag:religion=buddhist
17_753,,Q753,Tag:resource=copper
17_756,,Q756,Key:plant
17_809,,Q809,Key:language:pl
17_847,,Q847,Tag:sport=tennis
17_866,,Q866,Key:contact:youtube
17_870,,Q870,Key:train
17_897,,Q897,Tag:resource=gold
17_918,,Q918,Key:contact:twitter
17_936,,Q936,Tag:map_source=OpenStreetMap
17_1075,,Q1075,Key:colour
17_1321,,Q1321,Key:language:es
17_1420,,Q1420,Key:motorcar
17_1455,,Q1455,Tag:sport=field_hockey
17_1501,,Q1501,Tag:leisure=swimming_pool
17_1525,,Q1525,Tag:junction=roundabout
17_1566,,Q1566,Key:tobacco
17_1734,,Q1734,Tag:sport=volleyball
17_1889,,Q1889,Key:diplomatic
17_2736,,Q2736,Tag:sport=soccer
17_2977,,Q2977,Tag:building=cathedral
17_3914,,Q3914,Tag:amenity=school
17_3918,,Q3918,Tag:amenity=university
17_3930,,Q3930,Tag:sport=table_tennis
17_3947,,Q3947,Tag:building=house
17_3957,,Q3957,Tag:place=town
17_4022,,Q4022,Tag:type=waterway|Tag:waterway=river
17_4213,,Q4213,Tag:man_made=telescope
17_4421,,Q4421,Tag:natural=wood
17_4539,,Q4539,Tag:operator:type=cooperative
17_4543,,Q4543,Tag:sport=beachvolleyball
17_4916,,Q4916,Key:currency:EUR
17_4917,,Q4917,Key:currency:USD
17_5043,,Q5043,Tag:religion=christian
17_5084,,Q5084,Tag:place=hamlet
17_5107,,Q5107,Tag:place=continent
17_5119,,Q5119,Key:capital|Role:admin_centre|Tag:capital=yes
17_5320,,Q5320,Tag:power=switch
17_5367,,Q5367,Tag:sport=motor
17_5369,,Q5369,Tag:sport=baseball
17_5372,,Q5372,Tag:sport=basketball
17_5375,,Q5375,Tag:sport=cricket
17_5377,,Q5377,Tag:sport=golf
17_5378,,Q5378,Tag:sport=rugby
17_5386,,Q5386,Tag:sport=car_racing
17_5503,,Q5503,Tag:railway=subway
17_5638,,Q5638,Key:bus
17_5639,,Q5639,Key:trolleybus
17_5849,,Q5849,Tag:sport=rugby|Tag:sport=rugby_union
17_6256,,Q6256,Tag:admin_level=2|Tag:place=country
17_6661,,Q6661,Tag:cuisine=french
17_6663,,Q6663,Tag:cuisine=burger
17_7075,,Q7075,Tag:amenity=library
17_7094,,Q7094,Tag:healthcare:speciality=biochemistry
17_7193,,Q7193,Tag:healthcare:speciality=microbiology
17_7291,,Q7291,Tag:sport=badminton
17_7432,,Q7432,Key:species
17_7707,,Q7707,Tag:sport=water_polo
17_7718,,Q7718,Tag:sport=ski_jumping
17_7737,,Q7737,Key:language:ru
17_7863,,Q7863,Tag:amenity=shower|Tag:amenity=showers
17_7867,,Q7867,Tag:healthcare:speciality=psychiatry
17_7892,,Q7892,Key:drinking_water
17_7913,,Q7913,Key:language:ro
17_7953,,Q7953,Tag:denomination=zen
17_8004,,Q8004,Tag:highway=traffic_signals|Tag:traffic_signals=traffic_light
17_8010,,Q8010,Key:crossing|Tag:footway=crossing|Tag:highway=crossing
17_8063,,Q8063,Tag:natural=rock|Tag:seamark:type=rock
17_8072,,Q8072,Tag:natural=volcano
17_8142,,Q8142,Key:currency
17_8146,,Q8146,Key:currency:JPY
17_8409,,Q8409,Tag:historic:period=alexander_the_great
17_8418,,Q8418,Tag:sport=handball|Tag:sport=team_handball
17_8432,,Q8432,Key:historic:civilization
17_8473,,Q8473,Key:military
17_8502,,Q8502,Tag:natural=peak
17_8514,,Q8514,Tag:natural=desert
17_8524,,Q8524,Tag:leisure=pitch|Tag:sport=soccer
17_8609,,Q8609,Tag:healthcare:speciality=hypnosis
